scenario,probability,Cash_cumulative,Stocks_cumulative,Bonds_cumulative
Baseline V,0.23602314982472292,-4.0164713569174175,15.392452329130602,1.6158984312149904
Shallow V,0.2526363645683302,-5.2166630218812955,20.49483756928716,1.0774011363948288
U-Shaped,0.27018929081264365,1.9869685966735329,9.192641804985247,9.496079472223773
W-Shaped,0.08885493882318057,4.066808113224862,8.647677419244904,5.837490791778932
Depression,0.02560063832222143,24.85181139448256,-40.567365610494946,23.046787312966742
Stagflation,0.1266956176489012,-8.946615634486577,8.027039509246702,-9.095419551776674
